"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨 설치유형,화장실입구cctv설치유무,기저귀교환대장소,리모델링년월,데이터기준일자
"공중화장실",달맞이봉,서울특별시 성동구 독서당로44길25 (금호동4가),,N,1,2,0,0,0,0,3,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.5454363,127.0204047044,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",살곶이 진입,,서울특별시 성동구 사근동 102-28,N,1,1,1,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.549540,127.034969,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",살곶이 진출,,서울특별시 성동구 사근동 102-28,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-09,37.553132,127.028349,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",살곶이인라인,,서울특별시 성동구 사근동 104,N,1,1,0,0,0,0,1,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-09,37.553132,127.028349,공공기관,관광·체육시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",궁터장,,서울특별시 성동구 행당동 81-4,N,1,2,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-11,37.546100,127.010581,공공기관,관광·체육시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",새말빗물펌프장,,서울특별시 성동구 송정동 93-22,N,1,1,1,1,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-06,37.553132,127.028349,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",송정농구장,,서울특별시 성동구 송정동 73-24,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.567202,127.041067,공공기관,관광·체육시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",송정제방,,서울특별시 성동구 송정동 75-20,N,1,1,1,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-05,37.569826,127.044108,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",상원 앞,서울특별시 성동구 성수동1가 2-20,서울특별시 성동구 성수동1가 2-20,N,0,2,1,0,0,0,2,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-09,37.549916,127.028741,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",용답휴식공원,서울특별시 성동구 천호대로 232 (용답동),,N,2,3,1,0,0,0,5,1,1,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-05,37.5699901544,127.0468221273,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",자전거체험장,,서울특별시 성동구 마장동 811,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-06,37.553973,127.046326,공공기관,관광·체육시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",기사식당,서울특별시 성동구 마장로42길 25,,N,1,1,0,0,0,0,1,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-08,37.5657195416,127.0465523284,공공기관,상업시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",마장어린이공원,서울특별시 성동구 마장로42길13 (마장동),,N,2,1,1,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,1980-07,37.5662280375,127.0456969310,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",응봉산 팔각정,,서울특별시 성동구 금호4가 1539,N,2,3,1,0,0,0,5,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-10,37.548457,127.031930,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",응봉산 아래,서울특별시 성동구 독서당로62가길66 (응봉동),,N,2,2,1,1,0,0,2,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,1988-01,37.5484057,127.0316840,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",암벽공원,서울특별시 성동구 독서당로60길13-1 (응봉동),,N,2,2,1,1,0,0,6,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.5486209,127.0310033,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",응봉자전거대여소,,서울특별시 성동구 응봉동 3-11,N,1,1,0,0,0,0,1,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-05,37.548505,127.030867,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",마장축산물시장,서울특별시 성동구 살곶이길40 (마장동),,N,2,3,0,0,0,0,5,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,1986-08,37.5712206,127.0412509,공공기관,상업시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",마장축산물남문,서울특별시 성동구 마장로39길7 (마장동),,N,2,2,0,0,0,0,4,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.5672100165,127.0410838598,공공기관,상업시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",마장축산물한전 뒤,서울특별시 성동구 마장로37길17 (마장동),,N,2,2,0,0,0,0,4,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-05,37.5678989467,127.0394271,공공기관,상업시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",매봉산지하수 옆,,서울특별시 성동구 옥수동 산5-164,N,2,2,1,1,0,0,4,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-05,37.544808,127.052405,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"간이화장실",금호정,서울특별시 성동구 금호산15길 15-22,,Y,1,1,0,0,0,0,0,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.5530989932,127.017867249,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
