"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
"공중화장실",효성공원(2) 공중화장실,,대전광역시 대덕구 오정동 423-3,N,1,1,0,0,0,0,1,0,0,대덕구 공원녹지과,042-608-5135,:~:,,36.3489421,127.4108181,2020-04-17
"공중화장실",대덕경찰서,대전광역시 대덕구 계족로 670(법동),,N,3,3,0,0,0,0,4,0,0,대덕경찰서,042-600-4321,09:00~18:00,,36.3711850126,127.4297058670,2020-04-17
"개방화장실",대전대덕소방서,대전광역시 대덕구 계족로 682(법동),,N,3,3,0,0,0,0,1,0,0,대전광역시 대덕소방서,042-270-1851,00:00~:,,36.3723592,127.4290286,2020-04-17
"공중화장실",산중골 주차장,대전광역시 대덕구 계족로740번길 114 (읍내동),,N,2,2,0,0,0,0,1,0,0,대덕구 교통과,042-608-6592,:~:,,36.3784666,127.4334956,2020-04-17
"개방화장실",대덕구노인종합복지관,"대전광역시 대덕구 계족로740번길 80 (읍내동, 대덕구노인종합복지회관)",,N,2,2,0,0,0,0,2,0,0,대덕구 사회복지과,042-608-6775,09:00~18:00,,36.3782583557,127.4314387090,2020-04-17
"개방화장실",수도시설관리사업소,대전광역시 대덕구 계족산로 20(중리동),,N,10,15,0,0,0,0,7,0,0,대전광역시 수도시설관리사업소,042-715-6224,09:00~18:00,,36.3610983,127.4333760174,2020-04-17
"개방화장실",마리S빌딩,대전광역시 대덕구 계족산로81번길 64(송촌동),,N,1,3,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3656436,127.4386343,2020-04-17
"개방화장실",대덕경찰서 신탄진지구대,대전광역시 대덕구 대덕대로 1472(목상동),,N,1,1,0,0,0,0,1,0,0,대덕경찰서,042-600-4321,:~:,,36.4487254,127.4120901574,2020-04-17
"개방화장실",목상동주민센터,"대전광역시 대덕구 대덕대로1470번길 7 (목상동, 목상동주민센터)",,N,3,2,0,0,0,0,3,0,0,대덕구 목상동주민센터,042-608-5848,08:30~18:30,,36.4483611254,127.4122172576,2020-04-17
"개방화장실",대덕국민체육센터,대전광역시 대덕구 대덕대로1486번길 101 (목상동),,N,4,2,0,0,0,0,6,0,0,대덕구 문화체육과,042-608-6594,06:00~22:00,,36.4455009,127.4135982,2020-04-17
"개방화장실",대덕문화체육관,"대전광역시 대덕구 대덕대로1486번길 85 (목상동, 대덕문화체육관)",,N,8,16,0,0,0,0,11,0,0,대덕구 문화체육과,042-608-5582,06:00~22:00,,36.445401,127.4153472,2020-04-17
"공중화장실",신탄진 현도교밑,대전광역시 대덕구 대덕대로1527번길 321 (신탄진동),,N,2,0,0,0,0,0,0,0,0,대덕구 문화체육과,042-608-6594,:~:,,36.4557105,127.4299845571,2020-04-17
