"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
"공중화장실",유성시장,,대전광역시 유성구 장대동 277-34,N,2,3,1,0,0,0,3,1,0,대전광역시 유성구청,042-611-2369,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,1984-01,36.357998,127.334576,2020-02-29
"공중화장실",장성어린이공원,대전광역시 유성구 봉산로40번길 31 (봉산동),대전광역시 유성구 봉산동 186,Y,0,2,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,1992-01,36.4378639876,127.3875942642,2020-02-29
"공중화장실",산수어린이공원,대전광역시 유성구 유성대로1665번길 8-25 (전민동),대전광역시 유성구 전민동 265,Y,0,2,0,0,0,0,2,0,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,1993-01,36.400149,127.395845,2020-02-29
"공중화장실",아리어린이공원,대전광역시 유성구 엑스포로 492 (전민동),대전광역시 유성구 전민동 466-2,N,1,3,1,0,0,0,1,1,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,1993-01,36.400452,127.406022,2020-02-29
"공중화장실",엑스포근린공원,대전광역시 유성구 엑스포로 476 (전민동),대전광역시 유성구 전민동 467-3,N,2,2,1,0,0,0,4,1,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,1993-01,36.3985684016,127.4053326978,2020-02-29
"공중화장실",원내어린이공원,대전광역시 유성구 진잠로 102번길 50,대전광역시 유성구 원내동 206-5,N,1,1,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2394,(평일)09:00~18:00+(주말)09:00~18:00+(공휴일)09:00~18:00,1993-01,36.3006868396,127.3182442787,2020-02-29
"공중화장실",성북산림욕장-상,대전광역시 유성구 성북로 463 (성북동),대전광역시 유성구 성북동 산72-3,N,1,3,1,0,0,0,2,1,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,1996-01,36.315179,127.281519,2020-02-29
"공중화장실",진잠근린공원,대전광역시 유성구 계백로 835 (원내동),대전광역시 유성구 원내동 358,Y,0,2,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,1997-01,36.2954104166,127.320606,2020-02-29
"공중화장실",성두산근린공원-前,,대전광역시 유성구 구성동 20,N,1,1,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,1999-01,36.373187,127.371914,2020-02-29
"공중화장실",라이온스동산,,대전광역시 유성구 방동 11-1,N,0,1,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,1999-01,36.285474,127.310756,2020-02-29
"공중화장실",왕골근린공원,,대전광역시 유성구 전민동 463-2,N,1,1,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,1999-01,36.400453,127.399703,2020-02-29
"공중화장실",유성IC광장,대전광역시 유성구 월드컵대로 31 (장대동),대전광역시 유성구 장대동 240-43,N,4,8,1,2,0,0,6,1,0,대전광역시 유성구청,042-611-2956,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2001-01,36.3634181769,127.3281531497,2020-02-29
"공중화장실",동잠어린이공원,대전광역시 유성구 유성대로741번길 2 (장대동),대전광역시 유성구 장대동 269-11,Y,0,1,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2394,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2001-01,36.3594635169,127.333471,2020-02-29
"공중화장실",성북동산림욕장-下,,대전광역시 유성구 성북동 산84,N,1,1,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2001-01,36.328075,127.273927,2020-02-29
"공중화장실",전민어린이공원,대전광역시 유성구 전민로34번길 43 (전민동),대전광역시 유성구 전민동 346-6,N,1,1,1,0,0,0,1,1,0,대전광역시 유성구청,042-611-2394,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2002-01,36.398373,127.401121,2020-02-29
"공중화장실",두루봉근린공원,대전광역시 유성구 노은동로 212 (지족동),대전광역시 유성구 지족동 881-1,N,2,2,1,0,0,0,2,1,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2002-01,36.379238,127.321455,2020-02-29
"공중화장실",은구비근린공원,,대전광역시 유성구 지족동 920,N,1,2,1,0,0,0,1,1,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2002-01,36.374198,127.324229,2020-02-29
"공중화장실",한샘근린공원,대전광역시 유성구 대정로 34 (대정동),대전광역시 유성구 대정동 305,N,2,3,1,0,0,0,3,1,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2003-01,36.3150319741,127.320229,2020-02-29
"공중화장실",청룡어린이공원,대전광역시 유성구 진잠로70번길 30 (원내동),대전광역시 유성구 원내동 340-7,N,1,1,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2394,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2003-01,36.2981069769,127.3178355,2020-02-29
"공중화장실",남산어린이공원(구암12통 경로당 외부화장실),대전광역시 유성구 유성대로626번길 20 (구암동),대전광역시 유성구 구암동 628-1,N,2,1,0,0,0,0,2,0,0,대전광역시 유성구청,042-611-2394,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2004-01,36.3496515494,127.3282513323,2020-02-29
"공중화장실",성두산근린공원-後,,대전광역시 유성구 구성동 20,N,1,1,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2004-01,36.373187,127.371914,2020-02-29
"공중화장실",장현근린공원,,대전광역시 유성구 궁동 477,N,1,1,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2004-01,36.3611023,127.342845,2020-02-29
"공중화장실",방동 저수지,,대전광역시 유성구 방동 144-3,Y,1,1,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2081,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2004-01,36.288881,127.304525,2020-02-29
"공중화장실",동화울수변공원,대전광역시 유성구 테크노중앙로 88 (관평동),대전광역시 유성구 관평동 771,N,2,4,1,0,0,0,5,1,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2006-01,36.424393,127.394097,2020-02-29
"공중화장실",장배기공원,대전광역시 유성구 테크노중앙로 4 (관평동),대전광역시 유성구 관평동 886,N,2,4,1,1,0,0,6,1,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2006-01,36.4277212262,127.386253,2020-02-29
"공중화장실",송강어린이공원,대전광역시 유성구 구즉로48번길 1 (송강동),대전광역시 유성구 송강동 184,Y,0,1,0,0,0,0,1,0,0,대전광역시 유성구청,042-611-2394,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2006-01,36.433335,127.385718,2020-02-29
"공중화장실",송강근린공원,대전광역시 유성구 송강로42번길 34 (송강동),대전광역시 유성구 송강동 9,N,3,3,1,0,0,0,6,1,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2006-01,36.4350095845,127.3841005114,2020-02-29
"공중화장실",유성장옥,대전광역시 유성구 유성대로730번길 24 (장대동),대전광역시 유성구 장대동 191-7,N,2,3,1,0,0,0,6,1,0,대전광역시 유성구청,042-611-2135,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2006-01,36.357778,127.3339230019,2020-02-29
"공중화장실",소라실근린공원,대전광역시 유성구 지족로328번길 14-11 (지족동),대전광역시 유성구 지족동 994,N,1,2,1,0,0,0,1,1,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2006-01,36.386767,127.312529,2020-02-29
"공중화장실",청벽산근린공원,대전광역시 유성구 오룡1길 68 (탑립동),대전광역시 유성구 탑립동 712,N,2,1,0,0,0,0,2,1,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2006-01,36.415057,127.403368,2020-02-29
"공중화장실",송림근린공원,대전광역시 유성구 북유성대로 228 (하기동),대전광역시 유성구 하기동 517,N,1,3,1,0,0,0,3,1,0,대전광역시 유성구청,042-611-2830,(평일)09:00~24:00+(주말)09:00~24:00+(공휴일)09:00~24:00,2006-01,36.3862015433,127.3195420116,2020-02-29
